GNI,HDI,Health Index,Poverty,Malnourished Children,CPI,Wealth Inequality,,Health Index,Malnourished Children
8.571,0.591,0.759,40.2,18.9,124.6,0.31,,0.759,18.9
9.356,0.676,0.823,61.5,13.7,127.9,0.18,,0.823,13.7
9.926,0.774,0.883,76.9,5,132.6,0.09,,0.883,5
9.927,0.744,0.831,76.9,6.5,128,0.05,,0.831,6.5
8.828,0.597,0.736,47.1,15.4,119.9,0.3,,0.736,15.4
9.415,0.69,0.825,63.1,12,126.1,0.2,,0.825,12
8.998,0.689,0.829,51.8,2.6,124.5,0.21,,0.829,2.6
9.043,0.649,0.798,53,8.1,117.7,0.22,,0.798,8.1
9.727,0.698,0.77,71.5,3.4,135.1,0.16,,0.77,3.4
9.227,0.672,0.813,57.9,5.6,126.7,0.18,,0.813,5.6
9.962,0.739,0.821,77.9,6.4,134.3,0.11,,0.821,6.4
8.65,0.598,0.761,42.3,10,131.5,0.29,,0.761,10
9.734,0.733,0.841,71.7,8.4,128.9,0.14,,0.841,8.4
9.967,0.717,0.811,78,7.1,123.1,0.11,,0.811,7.1
9.177,0.622,0.769,56.6,13.3,128.4,0.25,,0.769,13.3
9.73,0.71,0.832,71.6,3.6,133.5,0.09,,0.832,3.6
9.456,0.702,0.838,64.2,8.3,128,0.16,,0.838,8.3
9.398,0.662,0.793,62.6,7.8,127,0.19,,0.793,7.8
8.836,0.651,0.819,47.4,6.3,133,0.23,,0.819,6.3
8.741,0.588,0.709,44.8,13.1,126.7,0.3,,0.709,13.1
9.421,0.676,0.778,63.2,9.3,121.2,0.19,,0.778,9.3
8.903,0.634,0.807,49.2,9,126.7,0.24,,0.807,9
9.78,0.731,0.874,73.4,6.73,130.6,0.14,,0.874,6.73
9.375,0.645,0.784,62.5,7.73,134.7,0.17,,0.784,7.73
9.349,0.665,0.819,61.7,6.53,139.9,0.18,,0.819,6.53
8.719,0.61,0.763,44.6,9.8,127.4,0.26,,0.763,9.8
8.479,0.575,0.761,38.1,15.2,132,0.28,,0.761,15.2
10.15,0.767,0.832,83.5,6.3,126.4,0.09,,0.832,6.3
8.943,0.611,0.736,50.7,11,132,0.25,,0.736,11
9.16,0.65,0.817,56.6,12.9,130.5,0.21,,0.817,12.9
9.661,0.694,0.824,70.2,6.83,145.5,0.14,,0.824,6.83
10.07,0.761,0.863,81.4,8.4,133.4,0.1,,0.863,8.4
9.562,0.662,0.796,67.5,13.4,134.3,0.19,,0.796,13.4
9.828,0.705,0.807,74.7,8.57,130.1,0.12,,0.807,8.57
9.823,0.72,0.808,74.6,5.77,128,0.12,,0.808,5.77
9.609,0.695,0.814,68.8,6.8,133.3,0.17,,0.814,6.8
8.645,0.597,0.764,42.7,17.1,134.7,0.29,,0.764,17.1
9.438,0.68,0.829,64.1,12.5,131.5,0.17,,0.829,12.5
9.919,0.774,0.889,77.2,4.73,136.6,0.09,,0.889,4.73
9.924,0.741,0.837,77.3,7.57,134.9,0.05,,0.837,7.57
8.916,0.603,0.741,50,13.7,120.8,0.27,,0.741,13.7
9.484,0.696,0.831,65.4,12,127.8,0.19,,0.831,12
9.044,0.692,0.835,53.5,2.7,128.7,0.2,,0.835,2.7
9.097,0.654,0.804,54.9,7.73,138.3,0.2,,0.804,7.73
9.761,0.701,0.775,72.9,3.23,131.8,0.14,,0.775,3.23
9.273,0.678,0.818,59.7,6.37,128,0.18,,0.818,6.37
9.984,0.743,0.827,79,6.13,136.7,0.1,,0.827,6.13
8.768,0.604,0.766,46,9.3,133.3,0.27,,0.766,9.3
9.81,0.737,0.847,74.3,6.77,131.5,0.13,,0.847,6.77
9.977,0.716,0.817,78.8,6.13,128.2,0.1,,0.817,6.13
9.289,0.634,0.775,60.1,11.9,133,0.22,,0.775,11.9
9.712,0.714,0.838,71.6,4.13,138.2,0.1,,0.838,4.13
9.501,0.703,0.843,65.9,7.43,133.3,0.16,,0.843,7.43
9.454,0.664,0.798,64.6,8.43,133.6,0.17,,0.798,8.43
8.889,0.65,0.825,49.3,7.03,137.9,0.22,,0.825,7.03
8.838,0.595,0.714,47.9,12.3,128.8,0.28,,0.714,12.3
9.493,0.682,0.783,65.7,8.4,125.3,0.17,,0.783,8.4
8.963,0.637,0.813,51.3,9.23,129.5,0.23,,0.813,9.23
9.803,0.726,0.878,74.7,6.97,140.5,0.13,,0.878,6.97
9.439,0.644,0.787,64.8,8.17,140.9,0.16,,0.787,8.17
9.445,0.672,0.823,65,6.07,151.3,0.16,,0.823,6.07
8.773,0.61,0.766,46.7,10.4,140.9,0.24,,0.766,10.4
8.583,0.579,0.765,41.6,14.2,142.6,0.26,,0.765,14.2
10.15,0.764,0.836,84,6.1,136.8,0.09,,0.836,6.1
9.044,0.615,0.74,54.1,10.3,144.4,0.22,,0.74,10.3
9.168,0.641,0.821,57.4,13.8,134,0.19,,0.821,13.8
9.633,0.684,0.828,70.1,7.17,150.4,0.13,,0.828,7.17
10.11,0.764,0.867,83.1,7.3,140.2,0.09,,0.867,7.3
9.566,0.657,0.8,68.2,13.6,141.5,0.18,,0.8,13.6
9.851,0.705,0.811,76,7.03,137.3,0.12,,0.811,7.03
9.835,0.719,0.812,75.5,6.43,138.4,0.12,,0.812,6.43
9.683,0.705,0.818,71.4,7.3,138.7,0.15,,0.818,7.3
8.715,0.599,0.768,45.1,15.4,146.9,0.26,,0.768,15.4
